book_id,original_title,authors,original_publication_year
78,The Devil Wears Prada,Lauren Weisberger,2003
79,Ὀδύσσεια,Homer & Robert Fagles & E.V. Rieu & Frédéric Mugler & Bernard Knox,-720
80,Le Petit Prince,Antoine de Saint-Exupéry & Richard Howard & Dom Marcos Barbosa & Melina Karakosta,1946
81,The Glass Castle,Jeannette Walls,2005
82,Into the Wild,Jon Krakauer,1996
83,A Tale of Two Cities,Charles Dickens & Richard Maxwell & Hablot Knight Browne,1859
84,Jurassic Park,Michael Crichton,1990
85,The Giving Tree,Shel Silverstein,1964
86,A Time to Kill,John Grisham,1989
87,Un di Velt Hot Geshvign,Elie Wiesel & Marion Wiesel,1958
88,Paper Towns,John Green,2008
89,The Princess Bride,William Goldman,1973
90,The Outsiders,S.E. Hinton,1967
91,The Maze Runner,James Dashner,2009
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt & Stephen J. Dubner,2005
93,The Secret Garden,Frances Hodgson Burnett,1911
94,Cien años de soledad,Gabriel García Márquez & Gregory Rabassa,1967
95,The Picture of Dorian Gray,Oscar Wilde & Jeffrey Eugenides,1891
96,Fifty Shades Freed,E.L. James,2012
97,Dracula,Bram Stoker & Nina Auerbach & David J. Skal,1897
98,Flickan som lekte med elden,Stieg Larsson & Reg Keeland,2006
99,Fifty Shades Darker,E.L. James,2011
